Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
,,,,,,,,TH,16:10-17:25,HN ASSEM,"Croston, Rebecca"
,,,,,,,,SU,10:10-14:00,BC  W205,
381,BIOL 125.00,1,Human Biology,In-Person,,6,4.5,TU,10:00-13:00,HN  918H,"Klein, Janette"
,,,,,,,,TU,16:10-17:25,HW  615,
,,,,,,,,TH,16:10-17:25,HW  615,
382,BIOL 125.00,2,Human Biology,In-Person,,6,4.5,TU,16:10-17:25,HW  615,"Gamss, Sandy"
,,,,,,,,TH,16:10-17:25,HW  615,"Klein, Janette"
,,,,,,,,F,10:00-13:00,HN  812,
383,BIOL 125.00,3,Human Biology,In-Person,,6,4.5,TU,16:10-17:25,HW  615,"Reynoso, Katherine"
,,,,,,,,TH,16:10-17:25,HW  615,"Klein, Janette"
,,,,,,,,F,10:00-13:00,HN  815,
386,BIOL 125.00,5,Human Biology,In-Person,,6,4.5,TU,16:10-17:25,HW  615,"Sheppard, Samantha"
,,,,,,,,TH,16:10-17:25,HW  615,"Klein, Janette"
,,,,,,,,SA,10:00-13:00,HN  812,
387,BIOL 125.00,6,Human Biology,In-Person,,6,4.5,TU,16:10-17:25,HW  615,"Papa, Luena"
,,,,,,,,TH,16:10-17:25,HW  615,"Klein, Janette"
,,,,,,,,SA,10:00-13:00,HN  815,
390,BIOL 202.00,1,Cell Bio2:Eucaryotic,In-Person,,7,4.5,TU,09:10-13:00,HN  813,"Lovett, Jordana"
,,,,,,,,TU,17:35-18:50,HW  615,"Zhong, Hualin"
,,,,,,,,TH,17:35-18:50,HW  615,"Brazill, Derrick"
391,BIOL 202.00,2,Cell Bio2:Eucaryotic,In-Person,,7,4.5,TU,17:35-18:50,HW  615,"Cheung, Fanny"
,,,,,,,,W,09:10-13:00,HN  813,"Zhong, Hualin"
,,,,,,,,TH,17:35-18:50,HW  615,"Brazill, Derrick"
392,BIOL 202.00,3,Cell Bio2:Eucaryotic,In-Person,,7,4.5,TU,17:35-18:50,HW  615,"Cheung, Fanny"
,,,,,,,,TH,09:10-13:00,HN  813,"Zhong, Hualin"
,,,,,,,,TH,17:35-18:50,HW  615,"Brazill, Derrick"
393,BIOL 202.00,4,Cell Bio2:Eucaryotic,In-Person,,7,4.5,TU,17:35-18:50,HW  615,"Zhong, Hualin"
,,,,,,,,TH,17:35-18:50,HW  615,"Brazill, Derrick"
,,,,,,,,F,09:10-13:00,HN  813,"Raghupathy, Gayathri"
402,BIOL 230.00,1,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Miller, Todd"
,,,,,,,,W,09:10-12:00,BC  W204,"Klein, Janette"
403,BIOL 230.00,2,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Freiermuth, Jamie"
,,,,,,,,W,13:10-16:00,BC  W204,"Klein, Janette"
404,BIOL 230.00,3,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Abramovich, Margarita"
,,,,,,,,TH,09:10-12:00,BC  W204,"Klein, Janette"
405,BIOL 230.00,4,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Pau, Kelvin"
,,,,,,,,F,09:10-12:00,BC  W204,"Klein, Janette"
406,BIOL 230.00,5,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Klein, Janette"
,,,,,,,,TU,15:10-18:00,BC  W204,"Liu, Yue"
407,BIOL 230.00,6,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Abramovich, Margarita"
,,,,,,,,TH,13:10-16:00,BC  W204,"Klein, Janette"
408,BIOL 230.00,7,Microbiology,In-Person,,5,3,M,11:10-13:00,BC ASSEM,"Pau, Kelvin"
,,,,,,,,F,13:10-16:00,BC  W204,"Klein, Janette"
